date,stock
20230612,688005.SH
20230612,688008.SH
20230612,688012.SH
20230612,688036.SH
20230612,688065.SH
20230612,688111.SH
20230612,688126.SH
20230612,688187.SH
20230612,688223.SH
20230612,688303.SH
20230612,688363.SH
20230612,688396.SH
20230612,688561.SH
20230612,688599.SH
20230612,688981.SH
20231211,000001.SZ
20231211,000002.SZ
20231211,000063.SZ
20231211,000069.SZ
20231211,000100.SZ
20231211,000157.SZ
20231211,000166.SZ
20231211,000301.SZ
20231211,000333.SZ
20231211,000338.SZ
20231211,000408.SZ
20231211,000425.SZ
20231211,000538.SZ
20231211,000568.SZ
20231211,000596.SZ
20231211,000617.SZ
20231211,000625.SZ
20231211,000651.SZ
20231211,000661.SZ
20231211,000708.SZ
20231211,000725.SZ
20231211,000733.SZ
20231211,000768.SZ
20231211,000776.SZ
20231211,000786.SZ
20231211,000792.SZ
20231211,000800.SZ
20231211,000858.SZ
20231211,000876.SZ
20231211,000877.SZ
20231211,000895.SZ
20231211,000938.SZ
20231211,000963.SZ
20231211,000977.SZ
20231211,000983.SZ
20231211,000999.SZ
20231211,001289.SZ
20231211,001979.SZ
20231211,002001.SZ
20231211,002007.SZ
20231211,002027.SZ
20231211,002049.SZ
20231211,002050.SZ
20231211,002074.SZ
20231211,002129.SZ
20231211,002142.SZ
20231211,002179.SZ
20231211,002180.SZ
20231211,002202.SZ
20231211,002230.SZ
20231211,002236.SZ
20231211,002241.SZ
20231211,002252.SZ
20231211,002271.SZ
20231211,002304.SZ
20231211,002311.SZ
20231211,002352.SZ
20231211,002371.SZ
20231211,002410.SZ
20231211,002415.SZ
20231211,002459.SZ
20231211,002460.SZ
20231211,002466.SZ
20231211,002475.SZ
20231211,002493.SZ
20231211,002555.SZ
20231211,002594.SZ
20231211,002601.SZ
20231211,002603.SZ
20231211,002648.SZ
20231211,002709.SZ
20231211,002714.SZ
20231211,002736.SZ
20231211,002812.SZ
20231211,002821.SZ
20231211,002841.SZ
20231211,002916.SZ
20231211,002920.SZ
20231211,002938.SZ
20231211,003816.SZ
20231211,300014.SZ
20231211,300015.SZ
20231211,300033.SZ
20231211,300059.SZ
20231211,300122.SZ
20231211,300124.SZ
20231211,300142.SZ
20231211,300223.SZ
20231211,300274.SZ
20231211,300308.SZ
20231211,300316.SZ
20231211,300347.SZ
20231211,300408.SZ
20231211,300413.SZ
20231211,300433.SZ
20231211,300450.SZ
20231211,300454.SZ
20231211,300496.SZ
20231211,300498.SZ
20231211,300628.SZ
20231211,300661.SZ
20231211,300750.SZ
20231211,300751.SZ
20231211,300759.SZ
20231211,300760.SZ
20231211,300763.SZ
20231211,300782.SZ
20231211,300896.SZ
20231211,300919.SZ
20231211,300957.SZ
20231211,300979.SZ
20231211,300999.SZ
20231211,301269.SZ
20231211,600000.SH
20231211,600009.SH
20231211,600010.SH
20231211,600011.SH
20231211,600015.SH
20231211,600016.SH
20231211,600018.SH
20231211,600019.SH
20231211,600023.SH
20231211,600025.SH
20231211,600028.SH
20231211,600029.SH
20231211,600030.SH
20231211,600031.SH
20231211,600036.SH
20231211,600039.SH
20231211,600048.SH
20231211,600050.SH
20231211,600061.SH
20231211,600085.SH
20231211,600089.SH
20231211,600104.SH
20231211,600111.SH
20231211,600115.SH
20231211,600132.SH
20231211,600150.SH
20231211,600176.SH
20231211,600183.SH
20231211,600188.SH
20231211,600196.SH
20231211,600219.SH
20231211,600233.SH
20231211,600276.SH
20231211,600309.SH
20231211,600332.SH
20231211,600346.SH
20231211,600362.SH
20231211,600372.SH
20231211,600406.SH
20231211,600426.SH
20231211,600436.SH
20231211,600438.SH
20231211,600460.SH
20231211,600489.SH
20231211,600515.SH
20231211,600519.SH
20231211,600547.SH
20231211,600570.SH
20231211,600584.SH
20231211,600585.SH
20231211,600588.SH
20231211,600600.SH
20231211,600606.SH
20231211,600660.SH
20231211,600674.SH
20231211,600690.SH
20231211,600732.SH
20231211,600741.SH
20231211,600745.SH
20231211,600754.SH
20231211,600760.SH
20231211,600795.SH
20231211,600803.SH
20231211,600809.SH
20231211,600837.SH
20231211,600845.SH
20231211,600875.SH
20231211,600886.SH
20231211,600887.SH
20231211,600893.SH
20231211,600900.SH
20231211,600905.SH
20231211,600918.SH
20231211,600919.SH
20231211,600926.SH
20231211,600938.SH
20231211,600941.SH
20231211,600958.SH
20231211,600989.SH
20231211,600999.SH
20231211,601006.SH
20231211,601009.SH
20231211,601012.SH
20231211,601021.SH
20231211,601059.SH
20231211,601066.SH
20231211,601088.SH
20231211,601100.SH
20231211,601111.SH
20231211,601117.SH
20231211,601138.SH
20231211,601155.SH
20231211,601166.SH
20231211,601169.SH
20231211,601186.SH
20231211,601211.SH
20231211,601225.SH
20231211,601229.SH
20231211,601236.SH
20231211,601238.SH
20231211,601288.SH
20231211,601318.SH
20231211,601319.SH
20231211,601328.SH
20231211,601336.SH
20231211,601360.SH
20231211,601377.SH
20231211,601390.SH
20231211,601398.SH
20231211,601600.SH
20231211,601601.SH
20231211,601607.SH
20231211,601615.SH
20231211,601618.SH
20231211,601628.SH
20231211,601633.SH
20231211,601658.SH
20231211,601668.SH
20231211,601669.SH
20231211,601688.SH
20231211,601689.SH
20231211,601698.SH
20231211,601699.SH
20231211,601728.SH
20231211,601766.SH
20231211,601788.SH
20231211,601799.SH
20231211,601800.SH
20231211,601808.SH
20231211,601816.SH
20231211,601818.SH
20231211,601838.SH
20231211,601857.SH
20231211,601865.SH
20231211,601868.SH
20231211,601872.SH
20231211,601877.SH
20231211,601878.SH
20231211,601881.SH
20231211,601888.SH
20231211,601898.SH
20231211,601899.SH
20231211,601901.SH
20231211,601916.SH
20231211,601919.SH
20231211,601939.SH
20231211,601985.SH
20231211,601988.SH
20231211,601989.SH
20231211,601995.SH
20231211,601998.SH
20231211,603019.SH
20231211,603195.SH
20231211,603259.SH
20231211,603260.SH
20231211,603288.SH
20231211,603290.SH
20231211,603369.SH
20231211,603392.SH
20231211,603486.SH
20231211,603501.SH
20231211,603659.SH
20231211,603799.SH
20231211,603806.SH
20231211,603833.SH
20231211,603899.SH
20231211,603986.SH
20231211,603993.SH
20231211,605117.SH
20231211,605499.SH
20231211,688008.SH
20231211,688012.SH
20231211,688036.SH
20231211,688041.SH
20231211,688065.SH
20231211,688111.SH
20231211,688126.SH
20231211,688187.SH
20231211,688223.SH
20231211,688256.SH
20231211,688271.SH
20231211,688303.SH
20231211,688363.SH
20231211,688396.SH
20231211,688561.SH
20231211,688599.SH
20231211,688981.SH
20240617,000001.SZ
20240617,000002.SZ
20240617,000063.SZ
20240617,000100.SZ
20240617,000157.SZ
20240617,000166.SZ
20240617,000301.SZ
20240617,000333.SZ
20240617,000338.SZ
20240617,000408.SZ
20240617,000425.SZ
20240617,000538.SZ
20240617,000568.SZ
20240617,000596.SZ
20240617,000617.SZ
20240617,000625.SZ
20240617,000651.SZ
20240617,000661.SZ
20240617,000708.SZ
20240617,000725.SZ
20240617,000733.SZ
20240617,000768.SZ
20240617,000776.SZ
20240617,000786.SZ
20240617,000792.SZ
20240617,000800.SZ
20240617,000807.SZ
20240617,000858.SZ
20240617,000876.SZ
20240617,000895.SZ
20240617,000938.SZ
20240617,000963.SZ
20240617,000977.SZ
20240617,000983.SZ
20240617,000999.SZ
20240617,001289.SZ
20240617,001965.SZ
20240617,001979.SZ
20240617,002001.SZ
20240617,002007.SZ
20240617,002027.SZ
20240617,002049.SZ
20240617,002050.SZ
20240617,002074.SZ
20240617,002129.SZ
20240617,002142.SZ
20240617,002179.SZ
20240617,002180.SZ
20240617,002230.SZ
20240617,002236.SZ
20240617,002241.SZ
20240617,002252.SZ
20240617,002271.SZ
20240617,002304.SZ
20240617,002311.SZ
20240617,002352.SZ
20240617,002371.SZ
20240617,002410.SZ
20240617,002415.SZ
20240617,002459.SZ
20240617,002460.SZ
20240617,002466.SZ
20240617,002475.SZ
20240617,002493.SZ
20240617,002555.SZ
20240617,002594.SZ
20240617,002601.SZ
20240617,002603.SZ
20240617,002648.SZ
20240617,002709.SZ
20240617,002714.SZ
20240617,002736.SZ
20240617,002812.SZ
20240617,002821.SZ
20240617,002841.SZ
20240617,002916.SZ
20240617,002920.SZ
20240617,002938.SZ
20240617,003816.SZ
20240617,300014.SZ
20240617,300015.SZ
20240617,300033.SZ
20240617,300059.SZ
20240617,300122.SZ
20240617,300124.SZ
20240617,300142.SZ
20240617,300223.SZ
20240617,300274.SZ
20240617,300308.SZ
20240617,300316.SZ
20240617,300347.SZ
20240617,300408.SZ
20240617,300413.SZ
20240617,300418.SZ
20240617,300433.SZ
20240617,300442.SZ
20240617,300450.SZ
20240617,300454.SZ
20240617,300496.SZ
20240617,300498.SZ
20240617,300628.SZ
20240617,300661.SZ
20240617,300750.SZ
20240617,300751.SZ
20240617,300759.SZ
20240617,300760.SZ
20240617,300782.SZ
20240617,300832.SZ
20240617,300896.SZ
20240617,300919.SZ
20240617,300957.SZ
20240617,300979.SZ
20240617,300999.SZ
20240617,301269.SZ
20240617,600000.SH
20240617,600009.SH
20240617,600010.SH
20240617,600011.SH
20240617,600015.SH
20240617,600016.SH
20240617,600018.SH
20240617,600019.SH
20240617,600023.SH
20240617,600025.SH
20240617,600026.SH
20240617,600027.SH
20240617,600028.SH
20240617,600029.SH
20240617,600030.SH
20240617,600031.SH
20240617,600036.SH
20240617,600039.SH
20240617,600048.SH
20240617,600050.SH
20240617,600061.SH
20240617,600085.SH
20240617,600089.SH
20240617,600104.SH
20240617,600111.SH
20240617,600115.SH
20240617,600132.SH
20240617,600150.SH
20240617,600161.SH
20240617,600176.SH
20240617,600183.SH
20240617,600188.SH
20240617,600196.SH
20240617,600219.SH
20240617,600233.SH
20240617,600276.SH
20240617,600309.SH
20240617,600332.SH
20240617,600346.SH
20240617,600362.SH
20240617,600372.SH
20240617,600406.SH
20240617,600415.SH
20240617,600426.SH
20240617,600436.SH
20240617,600438.SH
20240617,600460.SH
20240617,600489.SH
20240617,600515.SH
20240617,600519.SH
20240617,600547.SH
20240617,600570.SH
20240617,600584.SH
20240617,600585.SH
20240617,600588.SH
20240617,600600.SH
20240617,600660.SH
20240617,600674.SH
20240617,600690.SH
20240617,600732.SH
20240617,600741.SH
20240617,600745.SH
20240617,600760.SH
20240617,600795.SH
20240617,600803.SH
20240617,600809.SH
20240617,600837.SH
20240617,600845.SH
20240617,600875.SH
20240617,600886.SH
20240617,600887.SH
20240617,600893.SH
20240617,600900.SH
20240617,600905.SH
20240617,600918.SH
20240617,600919.SH
20240617,600926.SH
20240617,600938.SH
